country_name,slug_game,medals_total,athletes_unique,avg_rank,medal_share,medals_total_lag_1,athletes_unique_lag_1,cluster,pca_1,pca_2
Spain,los-angeles-1984,49,91,12.73134328358209,0.02093122597180692,1.0,6.0,1,1.3127926366469909,-0.48664410737370817
Spain,mexico-city-1968,21,34,18.264150943396228,0.011394465545306565,49.0,91.0,2,0.5411811492000949,-0.2715191277402316
Spain,montreal-1976,23,39,12.76271186440678,0.011252446183953033,21.0,34.0,2,0.4212712680199045,-0.6799464543091628
Spain,moscow-1980,38,53,11.53012048192771,0.020562770562770564,23.0,39.0,1,0.9690448407565723,-0.6021896135082292
Spain,munich-1972,33,30,16.142857142857142,0.015270708005552984,38.0,53.0,2,0.6372231344438501,-0.383105389012713
Spain,nagano-1998,3,12,38.1764705882353,0.003778337531486146,33.0,30.0,0,-0.5646393184014403,0.5925667874978812
Spain,oslo-1952,0,4,51.85714285714285,0.0,3.0,12.0,0,-1.291175130755318,1.164629686612223
Spain,paris-1900,4,3,1.0,0.0049504950495049506,0.0,4.0,2,-0.37510815886530713,-1.6234427747144733
Spain,paris-1924,26,43,12.0,0.021739130434782608,4.0,3.0,2,0.5022051873042996,-0.7332211180087298
Spain,pyeongchang-2018,2,12,23.153846153846157,0.002355712603062426,26.0,43.0,2,-0.4279441229627064,-0.2782927731226315
Spain,rio-2016,74,136,13.504761904761905,0.026278409090909092,2.0,12.0,1,2.2505048577059914,-0.19474472818182206
Spain,rome-1960,39,52,34.11594202898551,0.022820362785254535,74.0,136.0,1,1.1694779868992704,0.8844362664293668
Spain,salt-lake-city-2002,0,7,25.272727272727277,0.0,39.0,52.0,2,-0.447334385220465,-0.13396846264371784
Spain,sapporo-1972,1,3,16.75,0.003236245954692557,0.0,7.0,2,-0.6988204847189932,-0.7730498117673703
Spain,sarajevo-1984,0,14,46.72222222222222,0.0,1.0,3.0,0,-1.113192384009395,0.8985762589721494
Spain,seoul-1988,50,103,18.87943262411348,0.018532246108228317,0.0,14.0,1,1.3175025973275172,-0.12528895745038837
Spain,sochi-2014,0,19,34.53333333333333,0.0,50.0,103.0,2,-0.34536406192497837,0.45855796499681684
Spain,squaw-valley-1960,0,5,37.6,0.0,0.0,19.0,0,-1.0784924871043058,0.36650236263006136
Spain,st-moritz-1948,0,6,69.6,0.0,0.0,5.0,0,-1.588793283866163,2.1362726309667455
Spain,sydney-2000,89,149,12.98728813559322,0.033258594917787744,0.0,6.0,1,2.698015067872321,-0.10743112523745131
Spain,tokyo-1964,15,21,15.823529411764708,0.008484162895927601,89.0,149.0,1,0.7229625920612258,-0.2979097469738484
Spain,tokyo-2020,243,149,9.121447028423772,0.0340765671013883,15.0,21.0,3,5.028934361228107,0.39089968593707897
Spain,turin-2006,0,16,40.333333333333336,0.0,243.0,149.0,1,1.5402209312296575,1.6368112808707087
Spain,vancouver-2010,0,18,38.32142857142857,0.0,0.0,16.0,0,-0.9405914602469422,0.44076962211180276
Sri Lanka,athens-2004,0,4,39.4,0.0,0.0,0.0,0,-1.1193571983954156,0.4632546549692033
Sri Lanka,atlanta-1996,0,3,35.0,0.0,0.0,4.0,2,-1.0591205443040286,0.21762706931455467
Sri Lanka,barcelona-1992,0,5,44.42857142857143,0.0,0.0,3.0,0,-1.1898437604979315,0.7435935646600889
Sri Lanka,beijing-2008,0,6,36.57142857142857,0.0,0.0,5.0,0,-1.0502072083723084,0.31235033160811876
Sri Lanka,helsinki-1952,2,4,19.0,0.0010454783063251437,0.0,6.0,2,-0.7435892030083536,-0.6507675405837479
Sri Lanka,london-1948,1,6,6.8,0.0007158196134574087,2.0,4.0,2,-0.5193727554401592,-1.3156981664292569
Sri Lanka,london-2012,0,6,39.285714285714285,0.0,1.0,6.0,0,-1.0840293053759058,0.4667267068607655
Sri Lanka,los-angeles-1984,0,4,25.666666666666668,0.0,0.0,6.0,2,-0.8954122385159063,-0.2951351823073653
Sri Lanka,melbourne-1956,0,3,15.666666666666666,0.0,0.0,4.0,2,-0.7438582221435545,-0.8500091093757606
Sri Lanka,mexico-city-1968,0,3,28.33333333333333,0.0,0.0,3.0,2,-0.9504093987314511,-0.15052333713038185
Sri Lanka,munich-1972,0,2,65.0,0.0,0.0,3.0,0,-1.5598334013671404,1.871655580915777
Sri Lanka,rio-2016,0,8,45.125,0.0,0.0,2.0,0,-1.1666620867098105,0.7899970861077551
Sri Lanka,rome-1960,0,4,24.33333333333333,0.0,0.0,8.0,2,-0.8736700094013908,-0.36876526359635287
Sri Lanka,seoul-1988,0,5,43.625,0.0,0.0,4.0,0,-1.1767401849155226,0.6992182924546723
Sri Lanka,sydney-2000,1,7,42.66666666666666,0.0003736920777279522,0.0,5.0,0,-1.1187917441759365,0.6572549443962481
Sri Lanka,tokyo-1964,0,6,39.2,0.0,1.0,7.0,0,-1.0826315906471156,0.46199334449218793
Sri Lanka,tokyo-2020,0,4,27.0,0.0,0.0,6.0,2,-0.9171544676304217,-0.22150510101837814
Sudan,athens-2004,0,3,6.5,0.0,0.0,0.0,2,-0.5943803969812607,-1.3562159182375477
Sudan,atlanta-1996,0,2,58.5,0.0,0.0,3.0,0,-1.4538400344338778,1.5127089346319644
